BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15100,,15100.dat,"Technic, Pin with Friction Ridges and Pin Hole",9,7,Light Gray,Solid Colors,2,0.4
24375,6139223,24375.dat,"Technic, Link Tread Attachment, Single, Rubber",11,0,Black,Solid Colors,95,0.1
2780,,2780.dat,"Technic, Pin with Short Friction Ridges",1,15,White,Solid Colors,22,0.2
2780,6279875,2780.dat,"Technic, Pin with Short Friction Ridges",11,0,Black,Solid Colors,17,0.16
32014,6268905,32014.dat,"Technic, Axle and Pin Connector Angled #6 - 90 degrees",11,0,Black,Solid Colors,2,0.66
32034,6271869,32034.dat,"Technic, Axle and Pin Connector Angled #2 - 180 degrees",11,0,Black,Solid Colors,2,0.68
32034,4107830,32034.dat,"Technic, Axle and Pin Connector Angled #2 - 180 degrees",9,7,Light Gray,Solid Colors,4,0.68
32039,6375684,32039.dat,"Technic, Axle Connector with Axle Hole",1,15,White,Solid Colors,2,0
32063,6345239,32063.dat,"Technic, Liftarm Thin 1 x 6",1,15,White,Solid Colors,2,0.8
4265c,6360263,32123a.dat,Technic Bush 1/2 Smooth,1,15,White,Solid Colors,2,0
4265c,6271167,32123a.dat,Technic Bush 1/2 Smooth,3,14,Yellow,Solid Colors,12,0.1
4265c,4110050,32123a.dat,Technic Bush 1/2 Smooth,9,7,Light Gray,Solid Colors,2,0.1
32278,4542573,32278.dat,"Technic, Liftarm Thick 1 x 15",11,0,Black,Solid Colors,2,4.0
32316,4249021,32316.dat,"Technic, Liftarm Thick 1 x 5",1,15,White,Solid Colors,3,1.21
32523,,32523.dat,"Technic, Liftarm Thick 1 x 3",36,10,Bright Green,Solid Colors,1,0.7
32523,4208160,32523.dat,"Technic, Liftarm Thick 1 x 3",1,15,White,Solid Colors,4,0.7
32523,4210751,32523.dat,"Technic, Liftarm Thick 1 x 3",85,72,Dark Bluish Gray,Solid Colors,3,0.7
32524,6261638,32524.dat,"Technic, Liftarm Thick 1 x 7",156,322,Medium Azure,Solid Colors,2,1.74
32524,4495927,32524.dat,"Technic, Liftarm Thick 1 x 7",1,15,White,Solid Colors,3,1.74
32524,4506043,32524.dat,"Technic, Liftarm Thick 1 x 7",7,1,Blue,Solid Colors,1,1.74
32524,4143020,32524.dat,"Technic, Liftarm Thick 1 x 7",9,7,Light Gray,Solid Colors,1,1.74
32524,,32524.dat,"Technic, Liftarm Thick 1 x 7",40,11,Light Turquoise,Solid Colors,1,1.74
32526pb023,,32526p01.dat,"Technic, Liftarm, Modified Bent Thick L-Shape 3 x 5 with Silver and Black Grille Pattern",85,72,Dark Bluish Gray,Solid Colors,2,1.75
3673,,3673.dat,"Technic, Pin without Friction Ridges",1,15,White,Solid Colors,1,0.16
3704,,3704.dat,"Technic, Axle  2L",1,15,White,Solid Colors,6,0.27
3713,4125313,3713.dat,Technic Bush,9,7,Light Gray,Solid Colors,2,0.14
37308c01,6217705,37308c01.dat,"Electric Sensor, Color - SPIKE Prime",11,0,Black,Solid Colors,3,0
37316c01,6217717,37316c01.dat,"Electric Sensor, Distance - SPIKE Prime",11,0,Black,Solid Colors,1,0
3749,4191056,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges",1,15,White,Solid Colors,4,0
3749,4666579,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges",2,19,Tan,Solid Colors,3,0.22
3749,4225927,3749.dat,"Technic, Axle  1L with Pin without Friction Ridges",7,1,Blue,Solid Colors,1,0
39793,6265644,39793.dat,"Technic, Pin Connector Block, Liftarm 1 x 3 x 3",11,0,Black,Solid Colors,1,0
39793,,39793.dat,"Technic, Pin Connector Block, Liftarm 1 x 3 x 3",93,69,Light Purple,Solid Colors,1,2
40490,6001831,40490.dat,"Technic, Liftarm Thick 1 x 9",1,15,White,Solid Colors,2,2.59
44294,4183835,44294.dat,"Technic, Axle  7L",9,7,Light Gray,Solid Colors,1,1.05
44294,,44294.dat,"Technic, Axle  7L",1,15,White,Solid Colors,1,1.05
4519,4124021,4519.dat,"Technic, Axle  3L",1,15,White,Solid Colors,1,0
4519,4186007,4519.dat,"Technic, Axle  3L",9,7,Light Gray,Solid Colors,1,0.43
49283,6263192,49283.dat,"Technic, Axle and Wire Connector",156,322,Medium Azure,Solid Colors,2,0
54696c01,6266099,54696.dat,"Electric, Motor SPIKE Prime / Powered Up, Medium Angular with White Top Housing and Cable",156,322,Medium Azure,Solid Colors,2,0
57518,6325504,57518.dat,"Technic, Link Tread Wide with 2 Pin Holes",11,0,Black,Solid Colors,50,1.35
57519,6019617,57519.dat,Technic Tread Sprocket Wheel Large,1,15,White,Solid Colors,1,5.1
57519,4582792,57519.dat,Technic Tread Sprocket Wheel Large,11,0,Black,Solid Colors,6,5.1
6538c,4513174,59443.dat,"Technic, Axle Connector 2L (Smooth with x Hole + Orientation)",5,4,Red,Solid Colors,2,0.4
60483,6265091,60483.dat,"Technic, Liftarm Thick 1 x 2 - Axle Hole",11,0,Black,Solid Colors,2,0.46
64178,,64178.dat,"Technic, Liftarm, Modified Frame Thick 5 x 11 Open Center",9,7,Light Gray,Solid Colors,1,7
64179,,64179.dat,"Technic, Liftarm, Modified Frame Thick 5 x 7 Open Center",9,7,Light Gray,Solid Colors,1,5.3
6536,4173667,6536.dat,"Technic, Axle and Pin Connector Perpendicular",9,7,Light Gray,Solid Colors,2,0.39
6558,6299413,6558.dat,"Technic, Pin 3L with Friction Ridges",7,1,Blue,Solid Colors,3,0.31
6558,4157765,6558.dat,"Technic, Pin 3L with Friction Ridges",1,15,White,Solid Colors,16,0.31
6587,,6587.dat,"Technic, Axle  3L with Stud",2,19,Tan,Solid Colors,1,0.48
6587,6031821,6587.dat,"Technic, Axle  3L with Stud",69,28,Dark Tan,Solid Colors,1,0.48
87082,,87082.dat,"Technic, Pin 3L with Friction Ridges and Center Pin Hole",1,15,White,Solid Colors,3,0.5
87082,,87082.dat,"Technic, Pin 3L with Friction Ridges and Center Pin Hole",9,7,Light Gray,Solid Colors,4,0.5
87083,,87083.dat,"Technic, Axle  4L with Stop",1,15,White,Solid Colors,2,0.59
99008,4666999,99008.dat,"Technic, Axle  4L with Center Stop",2,19,Tan,Solid Colors,2,0.65
53444c01,6263561,bb1142c01.dat,"Electric, Hub Large - SPIKE Prime",3,14,Yellow,Solid Colors,1,0
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
318,203.73,,,,,,,,
